
 FES - Finite Element Solver 
 MATLAB version 3/23/2015 
 v2 mixed brick 8 element is added: 04/25/2015 
 v2 bug how to calculate deformation gradient: 04/21/2015 
 v2 1 point integration is added: 04/20/2015 
 
Element type:      QUAD4 	 Node Number per element:  4 
Total node number:     63 	 Total element number:     40

 

 STEP:     1
Iter:   1 	 r: 2.39e-01 	 N(r): 1.00e+00 	 time: 5.40e-01 
Iter:   2 	 r: 3.00e-05 	 N(r): 1.26e-04 	 time: 5.88e-01 
Iter:   3 	 r: 1.58e-10 	 N(r): 6.63e-10 	 time: 6.31e-01 

 STEP:     2
Iter:   1 	 r: 4.95e-01 	 N(r): 1.00e+00 	 time: 6.84e-01 
Iter:   2 	 r: 2.44e-01 	 N(r): 4.93e-01 	 time: 7.28e-01 
Iter:   3 	 r: 3.20e-05 	 N(r): 6.47e-05 	 time: 7.69e-01 
Iter:   4 	 r: 1.78e-10 	 N(r): 3.61e-10 	 time: 8.10e-01 

 STEP:     3
Iter:   1 	 r: 4.94e-01 	 N(r): 1.00e+00 	 time: 8.54e-01 
Iter:   2 	 r: 2.54e-01 	 N(r): 5.14e-01 	 time: 8.95e-01 
Iter:   3 	 r: 3.56e-05 	 N(r): 7.21e-05 	 time: 9.35e-01 
Iter:   4 	 r: 2.32e-10 	 N(r): 4.70e-10 	 time: 9.75e-01 

 STEP:     4
Iter:   1 	 r: 4.94e-01 	 N(r): 1.00e+00 	 time: 1.02e+00 
Iter:   2 	 r: 2.65e-01 	 N(r): 5.37e-01 	 time: 1.06e+00 
Iter:   3 	 r: 3.98e-05 	 N(r): 8.06e-05 	 time: 1.10e+00 
Iter:   4 	 r: 2.90e-10 	 N(r): 5.88e-10 	 time: 1.14e+00 

 STEP:     5
Iter:   1 	 r: 4.94e-01 	 N(r): 1.00e+00 	 time: 1.18e+00 
Iter:   2 	 r: 2.78e-01 	 N(r): 5.62e-01 	 time: 1.22e+00 
Iter:   3 	 r: 4.47e-05 	 N(r): 9.05e-05 	 time: 1.26e+00 
Iter:   4 	 r: 3.61e-10 	 N(r): 7.32e-10 	 time: 1.30e+00 

 STEP:     6
Iter:   1 	 r: 4.93e-01 	 N(r): 1.00e+00 	 time: 1.34e+00 
Iter:   2 	 r: 2.91e-01 	 N(r): 5.89e-01 	 time: 1.38e+00 
Iter:   3 	 r: 5.04e-05 	 N(r): 1.02e-04 	 time: 1.42e+00 
Iter:   4 	 r: 4.77e-10 	 N(r): 9.66e-10 	 time: 1.46e+00 

 STEP:     7
